wilderness	n. 荒野, 荒地
responsible	adj. 有责任的,负责的,责任重大的,应负责的
personnel	n.全体员工； （与复数动词连用）人员，员工； 人事部门
desperate	adj. 不顾一切的,绝望的, 极想得到的
lethal	adj. 致命的,毁灭性的,有效的 n. 基因异常,致死基因
destination	n. 目的地,终点,景点
restrict	v. 限制,约束
phase	n. 相, 相位,时期,局面,阶段 v. 逐步执行,实行,按计划进行
dominate	v. 支配, 占优势，俯视
nominal	adj. 名义上的,有名无实的,名词性的 n. 名词词组
device	n. 装置, 设计, 策略, 设备
devote	vt. 投入于,献身
motor	adj. 机动的,有引擎的，汽车的 n. 发动机,马达，汽车 vt. & vi. （用引擎）驱动
eccentric	n. 怪人 adj. 古怪的, 反常的
indignant	adj. 愤慨的, 愤愤不平的
referral	n. 送交，转送，转诊病人
ecology	n. 生态学
civilisation	n. 文明，文化，教化 =civilization（美）
disposal	n. 处理,消除,销毁,处置 n. 弃菜碾碎器
editorial	n. 社论 adj. 编辑的
hypothetical	adj. 假设的, 假定的, 爱猜想的
symbolism	n. 象征主义, 象征, 符号化
menace	n. 威胁, 胁迫 v. 威吓, 胁迫
habitat	n. (动植物的)产地,栖息地
interrupt	n. 中断 vt. 打断,妨碍 vi. 插嘴 [计算机] 中断
plain	n. 平原,草原 adj. 简单的,平坦的,平常的,家常的 adj.纯的，不掺杂的
disdain	n. 轻蔑 v. 蔑视
advocate	vt.提倡； 拥护； 鼓吹； 为…辩护 n.（辩护）律师； 提倡者； 支持者
lack	vt.缺乏，缺少； 需要的东西 n.缺乏，不足，没有； 缺少的东西
demanding	adj. 要求多的, 吃力的
furtive	adj. 偷偷的
financial	adj. 金融的,财政的
institutional	adj. 制度上的，惯例的，机构的
discard	n. 丢牌,废牌 vt. 丢弃,抛弃 vi. 丢牌
estate	n. 财产,房地产,状态,遗产
modification	n. 修正, 修饰, 修改
exceptional	adj. 例外的,异常的,特别的
transparent	adj. 透明的, 明显的, 清晰的
synthesis	n. 合成,综合,推理
equivalent	adj. 等价的, 相等的 n. 相等物
magnetism	n. 磁性, 吸引力, 磁学
appreciation	n. 赏识, 鉴识, 感激
distribute	vt. &vi. 分配,散布
trial	n.试验； [法]审讯，审判； 磨难，困难； [体]选拔赛 adj.试验的； [法]审讯的
regularize	v. 使有规则, 使有秩序, 调整
threatening	adj. 威胁(性)的, 凶兆的 动词threaten的现在分词
statement	n. 声明, 陈述
struggle	n. 竞争,努力,奋斗 v. 努力,奋斗,挣扎
flow	vi.流； 垂； 流出； （谈话、文体等）流畅 n.流动； 滔滔不绝； 涨潮； 连贯 vt.使泛滥； 淹没； 排出
absence	n. 没有；缺乏；缺席；不注意
continue	vt. &vi. 继续, 连续, 维持
steady	adj. 稳定的,稳固的,沉稳的 adv. 平稳地,稳固地 n. 固定的事物 vi. &vt. (使)稳固,(使)稳定
repute	n. 名望, 名气, 声望 vt. 认为, 以为
processor	n. 加工者,处理器
provisional	adj. 暂时的 n. 临时性,临时人员
humanist	n. 人类学者,人道主义者,人文学者
stimulate	vt. 刺激,激励,鼓舞 vi. 起刺激作用
diversity	n. 多样化，（人在种族、民族、宗教等方面的）多样性； 差异； 分歧 vt. 使不同,使多样化
implausible	adj. 难信的, 不像真实的
demoralize	vt. 使士气低落, 使失去斗志
